Microseconds	Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Acceleration X	Acceleration Y	Acceleration Z	G Force	Angular Velocity X	Angular Velocity Y	Angular Velocity Z	Roll	Pitch	Heading	Velocity North	Velocity East	Velocity Down	Latitude	Longitude
600899	0.679962	-0.2506404	-9.609592	1.362792432	1.06389493	-0.128734969	0.28232437	0.03924654	0.17614086	0.98380613	1.3580984221	1.0645174635	-0.1276627148	2.4863332025	2.9031054262	8.0381885692	11.873541	1.6862822	0.034331806	19.0379718991	-98.3158301604
650364	0.387248	-0.3295185	-10.080238	1.453306099	1.326162279	-0.257121295	-0.021763993	-0.02617367	-0.295693	1.0300944	1.4486105712	1.3267861029	-0.2560542107	2.5568248529	2.9686042083	8.0289559748	11.846837	1.6862817	0.00437124	19.0379769485	-98.3158293743
700898	0.458713	-0.3888948	-9.87345	0.432844987	-0.596523412	-0.125773409	0.046276737	-0.078146525	-0.08941939	1.0097347	0.428147676	-0.5958941623	-0.1247084208	2.578044581	2.9393664452	8.0206571432	11.847797	1.6760982	0.008403402	19.0379823967	-98.3158286251
750364	0.37389925	-0.36898318	-10.317969	0.061481388	-2.071222688	-0.181509792	-0.025354313	-0.05577243	-0.5333682	1.0544083	0.0567854338	-2.0705924892	-0.1804442823	2.5801212621	2.8384183742	8.0056501551	11.851806	1.6590077	-0.016989535	19.0379876965	-98.3158279875
800984	0.5082954	-0.43179846	-9.518181	0.294451182	-3.099017412	-0.061321951	0.1313245	-0.11987807	0.26758343	0.97416925	0.2897589555	-3.0983717312	-0.0602449484	2.5948225613	2.6828354682	7.9974405713	11.880838	1.6758417	0.0006344559	19.0379933393	-98.3158269894
850391	0.26316208	-0.23555483	-9.399801	0.636751291	-2.519225269	-0.16114027	-0.089685924	0.0821002	0.38684112	0.9598871	0.6320619112	-2.5185767042	-0.1600497358	2.6251929215	2.5599011701	7.9852312287	11.875731	1.6906732	0.015046875	19.0379985908	-98.315826106
900925	0.31398	-0.44797403	-8.243784	-0.525039639	-1.409470552	-0.014997745	-0.021262048	-0.12931488	1.5435877	0.8436775	-0.5297271221	-1.4088292727	-0.0138995037	2.5978991821	2.487158593	7.9801222472	11.871575	1.6668906	0.08920279	19.0380040031	-98.3158254204
950389	0.39717332	-0.4875554	-9.216767	-0.548630999	1.203178045	0.082150688	0.06181935	-0.17424439	0.57083786	0.9432443	-0.5533182161	1.203817502	0.0832441163	2.5710671634	2.5459126391	7.9852937629	11.881274	1.6423148	0.12049274	19.0380093	-98.3158247914
927	0.3298996	-0.16208602	-10.164902	0.339043874	1.520751636	0.109907116	-0.017001266	0.1506508	-0.3777822	1.0378218	0.3343563911	1.5213945848	0.110997186	2.5888068342	2.623610139	7.9958498961	11.883771	1.6665697	0.10185514	19.0380148261	-98.3158238558
50364	0.3086015	-0.19522151	-10.206151	0.33502279	1.621463686	0.002698671	-0.05241329	0.120269015	-0.4197999	1.042036	0.3303337891	1.6221080008	0.0037844166	2.6051665033	2.7030048651	7.9993657739	11.877774	1.6699861	0.082282126	19.0380200816	-98.315823104
100951	0.409434	-0.25319728	-10.581746	-0.100152041	1.315352366	-0.071380538	0.03653346	0.062350202	-0.79593545	1.0809238	-0.1048448457	1.3159924308	-0.0702971417	2.5992576308	2.7696702435	8.0001738612	11.882913	1.6892878	0.050280884	19.038025612	-98.3158221646
150357	0.43168053	-0.39615124	-10.32031	0.825254115	0.682331117	0.201437931	0.05003933	-0.0773436	-0.5350471	1.0550624	0.8205598024	0.6829707262	0.2025201177	2.6400302174	2.8026445754	8.0120171057	11.882012	1.689434	0.02900347	19.0380308609	-98.3158213582
200862	0.27886468	-0.1853642	-9.855304	1.125181231	0.266970731	0.053839915	-0.10738666	0.14362404	-0.070727065	1.0061499	1.1204877522	0.267609392	0.0549198863	2.6976855138	2.8157524673	8.0154164149	11.869711	1.693973	0.028519556	19.0380362946	-98.3158205575
250374	0.3985737	-0.34634948	-9.931329	0.248134815	-0.219823188	0.116294671	0.0122323865	-0.01194318	-0.14699873	1.015074	0.2434418111	-0.2191839769	0.1173747044	2.7098814995	2.8047494879	8.0211956657	11.891108	1.7010043	0.030248273	19.038041732	-98.3158197025
300843	0.3853543	-0.45497057	-9.972306	0.375909099	-0.659938494	0.150694672	0.0036111393	-0.11788809	-0.18780647	1.0197551	0.3712173284	-0.6593026029	0.1517814503	2.7293493601	2.770175981	8.0290075807	11.9124365	1.7135302	0.048946824	19.0380473921	-98.3158187142
350330	0.3458354	-0.2449484	-9.336449	0.375456371	-0.634638866	0.102762501	-0.029051844	0.095164865	0.4482862	0.95381707	0.3707657011	-0.6340025957	0.1038578834	2.747713462	2.7388903754	8.0342695584	11.941807	1.735645	0.07757355	19.0380529269	-98.3158177453
400977	0.36358595	-0.36292717	-9.331523	-0.147635459	-0.03749153	0.075325038	-0.0076270327	-0.020780342	0.45334348	0.9539527	-0.1523224108	-0.036869788	0.0764312919	2.7409275932	2.7346131592	8.0412576008	11.960636	1.7645967	0.12093825	19.0380585851	-98.3158166221
450414	0.36397052	-0.48327243	-9.790473	-0.32253303	-0.095442512	0.208604962	-0.00720998	-0.14288351	-0.0054990416	1.001325	-0.3272192988	-0.0948231178	0.2097149441	2.7253656902	2.7294859638	8.050764617	11.965943	1.7488296	0.11680113	19.0380639243	-98.3158158751
500936	0.4513262	-0.31706074	-9.785012	-0.757387914	-0.069865986	0.225900367	0.080815904	0.018145893	0.0002338746	1.0003166	-0.7620670489	-0.06926538	0.2270121515	2.6886098619	2.7226776313	8.0631482054	11.966609	1.7564163	0.11764236	19.0380694147	-98.3158149667
550324	0.38720465	-0.21763074	-9.947191	-0.289219371	-0.121012179	0.100791593	0.018314142	0.112045854	-0.16160646	1.0160726	-0.293896779	-0.1204153433	0.1019034911	2.674422193	2.7165586925	8.0669263624	11.969845	1.7500943	0.112942375	19.0380747461	-98.315814253
600888	0.35292894	-0.15597628	-9.837395	-0.547086959	-0.505758205	-0.055988673	-0.01328416	0.17148812	-0.05156115	1.0045285	-0.5517637409	-0.505171947	-0.0548777762	2.6461063537	2.6894646981	8.0624712577	11.974603	1.7523348	0.12184757	19.0380803239	-98.3158134554
650295	0.45796508	-0.38455328	-9.696343	-0.104588249	-0.096344979	0.01934239	0.094152585	-0.060068443	0.089774616	0.9916701	-0.1092646896	-0.0957613392	0.0204555936	2.6408073411	2.6847215111	8.0646866675	11.993656	1.763541	0.14552611	19.0380857474	-98.3158124985
700933	0.30148235	-0.45193353	-9.820699	0.356012606	0.19805232	0.203413886	-0.061833765	-0.12594244	-0.03455749	1.0039147	0.3513368865	0.1986294712	0.204540943	2.6594616502	2.6932741222	8.0800427542	12.010132	1.7997816	0.15316217	19.0380914388	-98.315811236
750328	0.48160732	-0.1767822	-9.591023	0.369381943	0.91208798	0.647420578	0.11598969	0.15399648	0.19480659	0.9801989	0.3647059193	0.9126655863	0.6485597778	2.6789753489	2.736437275	8.1169445966	12.032062	1.8350322	0.16287668	19.0380969051	-98.3158101294
800824	0.29284945	-0.30121756	-9.028422	-0.065495552	0.938921061	-0.05000179	-0.08080493	0.03118525	0.7570062	0.9224475	-0.0701674251	0.9394841723	-0.0488588096	2.6765298376	2.7820602066	8.1181060324	12.053184	1.8451039	0.23032627	19.0381026526	-98.3158091228
850309	0.42608073	-0.2622019	-11.009986	0.171843765	0.893319607	0.105809392	0.042592436	0.068565466	-1.2249247	1.124583	0.1671717638	0.8938800617	0.1069481455	2.6850484495	2.8255797435	8.1234020093	12.045854	1.8222765	0.17708586	19.0381079549	-98.3158084966
900840	0.33887383	-0.19239321	-10.121846	0.528361616	0.806353237	0.336412202	-0.051217213	0.14118728	-0.33724698	1.0335209	0.5236899179	0.8069102005	0.3375466207	2.7128961933	2.8652768029	8.1441493919	12.0286875	1.8391213	0.15218763	19.0381134087	-98.3158075051
